Wasima Steinmetz,2322455832454530,16-Nov,362,1
Wasima Steinmetz,3683759395832950,16-Nov,362,1
Staci Renwick,2322455832454530,17-Jul,684,2
Staci Renwick,3683759395832950,17-Jul,684,2
Pauravi Robitaille,2322455832454530,18-Feb,942,3
Pauravi Robitaille,3683759395832950,18-Feb,942,3
Janak Dahms,2322455832454530,16-Jan,22,4
Janak Dahms,3683759395832950,16-Jan,22,4
Ama Hartsell,2322455832454530,19-Aug,789,5
Ama Hartsell,3683759395832950,19-Aug,789,5
Ireta Barkley,2322455832454530,18-Nov,327,6
Ireta Barkley,3683759395832950,18-Nov,327,6
Alberta Thai,2322455832454530,16-Aug,621,7
Alberta Thai,3683759395832950,16-Aug,621,7
Cochiti Spurgeon,2322455832454530,17-Jul,647,8
Cochiti Spurgeon,3683759395832950,17-Jul,647,8
Fran Blohm,2322455832454530,16-Sep,868,9
Fran Blohm,3683759395832950,16-Sep,868,9
Constantine Vicknair,2322455832454530,19-Apr,529,10
Constantine Vicknair,3683759395832950,19-Apr,529,10
Aroon Hasty,2322455832454530,19-Mar,602,11
Aroon Hasty,3683759395832950,19-Mar,602,11
Sylvie Utley,2322455832454530,18-Dec,287,12
Sylvie Utley,3683759395832950,18-Dec,287,12
Faine Noel,2322455832454530,18-Jul,411,13
Faine Noel,3683759395832950,18-Jul,411,13
Effie Glasco,2322455832454530,17-Mar,825,14
Effie Glasco,3683759395832950,17-Mar,825,14
Armorel Lombardo,2322455832454530,16-Apr,831,15
Armorel Lombardo,3683759395832950,16-Apr,831,15
Vyasa Barbieri,2322455832454530,18-Jul,499,16
Vyasa Barbieri,3683759395832950,18-Jul,499,16
Helouse Teran,2322455832454530,19-Sep,488,17
Helouse Teran,3683759395832950,19-Sep,488,17
Burle Kegley,2322455832454530,17-May,19,18
Burle Kegley,3683759395832950,17-May,19,18
Galia Millar,2322455832454530,17-May,404,19
Galia Millar,3683759395832950,17-May,404,19
Enda Northup,2322455832454530,16-Aug,805,20
Enda Northup,3683759395832950,16-Aug,805,20
Innocent Early,2322455832454530,17-Jul,475,21
Innocent Early,3683759395832950,17-Jul,475,21
Filberta Armentrout,2322455832454530,18-Aug,954,22
Filberta Armentrout,3683759395832950,18-Aug,954,22
Kelvin Cecil,2322455832454530,17-Mar,513,23
Kelvin Cecil,3683759395832950,17-Mar,513,23
Ben Hoppe,2322455832454530,19-May,930,24
Ben Hoppe,3683759395832950,19-May,930,24
Christian Zaleski,2322455832454530,19-Sep,60,25
Christian Zaleski,3683759395832950,19-Sep,60,25
Hadwin Filer,2322455832454530,19-Sep,284,26
Hadwin Filer,3683759395832950,19-Sep,284,26
Hannu Parkey,2322455832454530,18-Jun,602,27
Hannu Parkey,3683759395832950,18-Jun,602,27
Roni Onofre,2322455832454530,18-Aug,300,28
Roni Onofre,3683759395832950,18-Aug,300,28
Fernleigh Hopper,2322455832454530,19-Apr,529,29
Fernleigh Hopper,3683759395832950,19-Apr,529,29
Nicholas Orme,2322455832454530,17-Jul,667,30
Nicholas Orme,3683759395832950,17-Jul,667,30
Spring Chisholm,2322455832454530,19-Jun,466,31
Spring Chisholm,3683759395832950,19-Jun,466,31
Warton Waters,2322455832454530,16-Nov,971,32
Warton Waters,3683759395832950,16-Nov,971,32
Tuvya Hollon,2322455832454530,18-Jun,127,33
Tuvya Hollon,3683759395832950,18-Jun,127,33
Brighton Marty,2322455832454530,16-Jan,807,34
Brighton Marty,3683759395832950,16-Jan,807,34
Srinivas Almond,2322455832454530,16-Jan,33,35
Srinivas Almond,3683759395832950,16-Jan,33,35
Rand Vicknair,2322455832454530,19-May,140,36
Rand Vicknair,3683759395832950,19-May,140,36
Zenda Ruggiero,2322455832454530,17-Mar,189,37
Zenda Ruggiero,3683759395832950,17-Mar,189,37
Trelawney Basurto,2322455832454530,17-Jun,416,38
Trelawney Basurto,3683759395832950,17-Jun,416,38
Corona Detrick,2322455832454530,18-Jan,11,39
Corona Detrick,3683759395832950,18-Jan,11,39
Warwick Deen,2322455832454530,17-Jan,83,40
Warwick Deen,3683759395832950,17-Jan,83,40
Pearl Lovins,2322455832454530,17-Apr,995,41
Pearl Lovins,3683759395832950,17-Apr,995,41
Derwyn Detweiler,2322455832454530,18-Jun,307,42
